video_id,description,view_count,like_count,comment_count,share_count,upload_date,hashtags,url,scraped_at
7449704086473100566,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7449704086473100566,2026-05-26T14:27:51.867368+00:00
7444885340491435286,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7444885340491435286,2026-05-26T14:27:51.914826+00:00
7444543577205607702,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7444543577205607702,2026-05-26T14:27:51.927935+00:00
7432642974716136737,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7432642974716136737,2026-05-26T14:27:51.934636+00:00
7432106406087527713,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7432106406087527713,2026-05-26T14:27:51.941588+00:00
7431900439295151392,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7431900439295151392,2026-05-26T14:27:51.948284+00:00
7429058059370122528,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7429058059370122528,2026-05-26T14:27:54.516644+00:00
7428327670984887584,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7428327670984887584,2026-05-26T14:27:54.553636+00:00
7428006176488574240,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7428006176488574240,2026-05-26T14:27:54.558768+00:00
7427496836849585441,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7427496836849585441,2026-05-26T14:27:54.563719+00:00
7426925046259518752,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7426925046259518752,2026-05-26T14:27:54.571586+00:00
7425961701620731169,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7425961701620731169,2026-05-26T14:27:54.571586+00:00
7425429143602466081,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7425429143602466081,2026-05-26T14:27:54.614575+00:00
7424063664933686560,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7424063664933686560,2026-05-26T14:27:54.620304+00:00
7423888023923871009,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7423888023923871009,2026-05-26T14:27:54.626035+00:00
7423677087875108128,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7423677087875108128,2026-05-26T14:27:54.630032+00:00
7423472221462514977,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7423472221462514977,2026-05-26T14:27:54.635786+00:00
7423338215186173216,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7423338215186173216,2026-05-26T14:27:54.643841+00:00
7422920400050392353,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7422920400050392353,2026-05-26T14:27:54.651420+00:00
7422750080492457249,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7422750080492457249,2026-05-26T14:27:54.651420+00:00
7421838231697739040,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7421838231697739040,2026-05-26T14:27:54.661276+00:00
7421490614564326688,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7421490614564326688,2026-05-26T14:27:54.661276+00:00
7420982355252301088,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7420982355252301088,2026-05-26T14:27:57.610198+00:00
7420171678988193056,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7420171678988193056,2026-05-26T14:27:57.615754+00:00
7419989701819403552,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7419989701819403552,2026-05-26T14:27:57.619743+00:00
7418134752194022688,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7418134752194022688,2026-05-26T14:27:57.627321+00:00
7414995999531306273,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7414995999531306273,2026-05-26T14:27:57.675031+00:00
7413084720621227296,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7413084720621227296,2026-05-26T14:27:57.682628+00:00
7412582761531264289,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7412582761531264289,2026-05-26T14:27:57.689626+00:00
7410753759653023009,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7410753759653023009,2026-05-26T14:27:57.698146+00:00
7410134545405709600,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7410134545405709600,2026-05-26T14:27:57.705325+00:00
7409599218245061921,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7409599218245061921,2026-05-26T14:27:57.716860+00:00
7409443312165260577,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7409443312165260577,2026-05-26T14:27:57.721526+00:00
7409220262752734496,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7409220262752734496,2026-05-26T14:27:57.731433+00:00
7408567358781951264,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7408567358781951264,2026-05-26T14:27:57.731433+00:00
7408146660070624545,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7408146660070624545,2026-05-26T14:27:57.746315+00:00
7407760836996959520,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7407760836996959520,2026-05-26T14:27:57.753136+00:00
7407522673913335073,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7407522673913335073,2026-05-26T14:28:01.350482+00:00
7407205327734574368,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7407205327734574368,2026-05-26T14:28:01.360301+00:00
7407148007440813344,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7407148007440813344,2026-05-26T14:28:01.371892+00:00
7406652245649001761,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7406652245649001761,2026-05-26T14:28:01.381323+00:00
7406374777725701408,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7406374777725701408,2026-05-26T14:28:01.390355+00:00
7405886341747117344,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7405886341747117344,2026-05-26T14:28:01.391184+00:00
7405510877966847264,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7405510877966847264,2026-05-26T14:28:01.408984+00:00
7403830887814581537,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7403830887814581537,2026-05-26T14:28:01.417123+00:00
7402929772084350240,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7402929772084350240,2026-05-26T14:28:01.425193+00:00
7402671689458306336,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7402671689458306336,2026-05-26T14:28:01.435253+00:00
7402213953557843233,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7402213953557843233,2026-05-26T14:28:01.446638+00:00
7401200201278442784,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7401200201278442784,2026-05-26T14:28:01.456387+00:00
7400496916053740832,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7400496916053740832,2026-05-26T14:28:01.465770+00:00
7400057411077279008,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7400057411077279008,2026-05-26T14:28:01.527538+00:00
7399768253523922208,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7399768253523922208,2026-05-26T14:28:01.535151+00:00
7399335809909902625,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7399335809909902625,2026-05-26T14:28:01.544269+00:00
7399008613269867809,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7399008613269867809,2026-05-26T14:28:09.813511+00:00
7398587121545579809,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7398587121545579809,2026-05-26T14:28:09.819508+00:00
7397719374435454241,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7397719374435454241,2026-05-26T14:28:09.824027+00:00
7397403744545115425,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7397403744545115425,2026-05-26T14:28:09.834340+00:00
7397038256723938593,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7397038256723938593,2026-05-26T14:28:09.840630+00:00
7396156690418208033,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7396156690418208033,2026-05-26T14:28:09.849323+00:00
7395939616953584928,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7395939616953584928,2026-05-26T14:28:09.854610+00:00
7395524707388312865,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7395524707388312865,2026-05-26T14:28:09.864507+00:00
7394776624283143457,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7394776624283143457,2026-05-26T14:28:09.873044+00:00
7394034543717518625,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7394034543717518625,2026-05-26T14:28:09.881563+00:00
7393665358424460576,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7393665358424460576,2026-05-26T14:28:09.887576+00:00
7393258581706984737,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7393258581706984737,2026-05-26T14:28:09.891591+00:00
7392339273111883041,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7392339273111883041,2026-05-26T14:28:09.896092+00:00
7391587278444973345,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7391587278444973345,2026-05-26T14:28:09.902889+00:00
7391154625509985569,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7391154625509985569,2026-05-26T14:28:09.912116+00:00
7390837540002991392,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7390837540002991392,2026-05-26T14:28:09.917623+00:00
7390403709106261280,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7390403709106261280,2026-05-26T14:28:13.419697+00:00
7389865661314469152,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7389865661314469152,2026-05-26T14:28:13.428431+00:00
